:START_ID,:END_ID,pieza_origen,pieza_destino
1,2,hembra_1,macho_2
1,7,macho_1,hembra_1
2,3,macho_1,hembra_2
2,8,hembra_1,macho_1
2,1,macho_2,hembra_1
3,4,hembra_1,macho_2
3,9,macho_1,hembra_1
3,2,hembra_2,macho_1
4,5,macho_1,hembra_2
4,10,hembra_1,macho_1
4,3,macho_2,hembra_1
5,6,hembra_1,macho_1
5,11,macho_1,hembra_1
5,4,hembra_2,macho_1
6,12,hembra_1,macho_1
6,5,macho_1,hembra_1
7,1,hembra_1,macho_1
7,8,macho_1,hembra_2
7,13,hembra_2,macho_1
8,2,macho_1,hembra_1
8,9,hembra_1,macho_2
8,14,macho_2,hembra_1
8,7,hembra_2,macho_1
9,3,hembra_1,macho_1
9,10,macho_1,hembra_2
9,15,hembra_2,macho_1
9,8,macho_2,hembra_1
10,4,macho_1,hembra_1
10,11,hembra_1,macho_2
10,16,macho_2,hembra_1
10,9,hembra_2,macho_1
11,5,hembra_1,macho_1
11,12,macho_1,hembra_1
11,17,hembra_2,macho_1
11,10,macho_2,hembra_1
12,6,macho_1,hembra_1
12,18,macho_2,hembra_1
12,11,hembra_1,macho_1
13,7,macho_1,hembra_2
13,14,hembra_1,macho_2
13,19,macho_2,hembra_1
14,8,hembra_1,macho_2
14,15,macho_1,hembra_2
14,20,hembra_2,macho_1
14,13,macho_2,hembra_1
15,9,macho_1,hembra_2
15,16,hembra_1,macho_2
15,21,macho_2,hembra_1
15,14,hembra_2,macho_1
16,10,hembra_1,macho_2
16,17,macho_1,hembra_2
16,22,hembra_2,macho_1
16,15,macho_2,hembra_1
17,11,macho_1,hembra_2
17,18,hembra_1,macho_1
17,23,macho_2,hembra_1
17,16,hembra_2,macho_1
18,12,hembra_1,macho_2
18,24,hembra_2,macho_1
18,17,macho_1,hembra_1
19,13,hembra_1,macho_2
19,20,macho_1,hembra_2
20,14,macho_1,hembra_2
20,21,hembra_1,macho_2
20,19,hembra_2,macho_1
21,15,hembra_1,macho_2
21,22,macho_1,hembra_2
21,20,macho_2,hembra_1
22,16,macho_1,hembra_2
22,23,hembra_1,macho_2
22,21,hembra_2,macho_1
23,17,hembra_1,macho_2
23,24,macho_1,hembra_1
23,22,macho_2,hembra_1
24,18,macho_1,hembra_2
24,23,hembra_1,macho_1
